# Valeur de la RUL -- maintenance insulaire (fenetres de visite + cout fixe)
# horizon=25 ans | N_MC=200 | mult U_log[0.50,2.00] | seed=2026 | VoLL=3.0 | Tvisite=6m | marge=1.5 | prev=fc+ely
# strategie de conduite FIXE : RB2(SoH) ; politiques : ['instant', 'corrective', 'calendar', 'rul']
# ages calendaires de ref (nominal x 1.00) : {'bat': 3.89, 'fc': 5.52, 'ely': None}
# cout total = uni0 + C_visite*n_interventions + gaspillage ; C_visite en post-proc
# TEST NUL instant==base : OK (ecart 0.000e+00 kEUR)

## Points nominaux (multiplicateurs = 1)
policy;lpsp;deg;uni0;nint;nprev;waste;wbat;wfc;wely;outfc;outely
instant;2.9099;58.024;81.889;10.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
corrective;3.3164;57.119;84.319;8.000;0.000;0.000;0.000;0.000;0.000;16358.000;0.000
calendar;2.9589;57.762;82.029;10.000;4.000;0.039;0.000;0.039;0.000;0.000;0.000
rul;2.9512;57.740;81.944;9.000;4.000;0.499;0.000;0.499;0.000;0.000;0.000

## Tirages (mondes perturbes, 200 complets)
draw;m_fc_a;m_fc_b;m_fc_s;m_ely_a;m_ely_b;m_ely_s;m_bat;instant_lpsp;instant_deg;instant_uni0;instant_nint;instant_nprev;instant_waste;instant_wbat;instant_wfc;instant_wely;instant_outfc;instant_outely;corrective_lpsp;corrective_deg;corrective_uni0;corrective_nint;corrective_nprev;corrective_waste;corrective_wbat;corrective_wfc;corrective_wely;corrective_outfc;corrective_outely;calendar_lpsp;calendar_deg;calendar_uni0;calendar_nint;calendar_nprev;calendar_waste;calendar_wbat;calendar_wfc;calendar_wely;calendar_outfc;calendar_outely;rul_lpsp;rul_deg;rul_uni0;rul_nint;rul_nprev;rul_waste;rul_wbat;rul_wfc;rul_wely;rul_outfc;rul_outely
29;1.4034;1.4571;1.4545;0.5574;0.6710;1.7300;1.6922;2.9646;96.191;120.506;17.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;3.3963;94.422;122.276;16.000;0.000;0.000;0.000;0.000;0.000;7872.000;3128.000;3.3963;94.422;122.276;16.000;0.000;0.000;0.000;0.000;0.000;7872.000;3128.000;3.0298;95.055;119.904;16.000;8.000;1.239;0.000;0.884;0.355;0.000;0.000
30;0.6649;1.0738;0.7196;0.8904;0.5147;0.7389;0.7277;2.8290;42.450;65.652;7.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;2.9011;42.216;66.010;7.000;0.000;0.000;0.000;0.000;0.000;4773.000;0.000;2.8328;42.225;65.458;4.000;4.000;1.558;0.000;1.558;0.000;0.000;0.000;2.8403;42.322;65.616;7.000;3.000;0.238;0.000;0.238;0.000;0.000;0.000
31;1.7879;1.1297;0.6395;0.9045;0.9903;1.2098;1.0460;2.9966;62.602;87.179;11.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;3.3424;61.135;88.547;9.000;0.000;0.000;0.000;0.000;0.000;18472.000;0.000;3.3424;61.135;88.547;9.000;0.000;0.000;0.000;0.000;0.000;18472.000;0.000;3.0772;61.982;87.219;6.000;6.000;1.024;0.000;1.024;0.000;0.000;0.000
32;0.8963;0.7693;1.1096;1.9341;1.0762;1.7100;0.5107;2.8985;41.047;64.819;8.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;3.3172;39.635;66.841;7.000;0.000;0.000;0.000;0.000;0.000;14558.000;1937.000;2.9912;40.742;65.274;8.000;4.000;0.052;0.000;0.052;0.000;0.000;796.000;2.9672;40.753;65.088;8.000;5.000;0.743;0.000;0.494;0.249;0.000;0.000
33;0.6626;1.6581;1.1011;0.9829;0.8337;0.7529;1.2813;2.8525;68.432;91.827;12.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;3.2042;66.976;93.256;10.000;0.000;0.000;0.000;0.000;0.000;6734.000;0.000;2.9817;67.088;91.541;11.000;4.000;0.607;0.000;0.607;0.000;0.000;0.000;2.9928;67.126;91.672;11.000;4.000;0.222;0.000;0.222;0.000;0.000;0.000
34;0.8302;0.9141;1.4678;1.8562;1.9825;0.9793;0.6056;2.9202;40.875;64.825;8.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;3.0044;40.435;65.075;7.000;0.000;0.000;0.000;0.000;0.000;7606.000;0.000;3.0044;40.435;65.075;7.000;0.000;0.000;0.000;0.000;0.000;7606.000;0.000;2.9174;40.815;64.742;8.000;5.000;0.422;0.000;0.422;0.000;0.000;0.000
35;0.5176;0.9926;0.5558;0.5886;0.6924;1.9779;0.6261;2.9508;45.108;69.310;7.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;3.2017;44.570;70.828;6.000;0.000;0.000;0.000;0.000;0.000;4539.000;2782.000;3.1354;44.632;70.347;8.000;4.000;2.371;0.000;2.371;0.000;0.000;4313.000;2.9582;45.026;69.287;6.000;3.000;0.378;0.000;0.085;0.293;0.000;0.000
36;0.5825;1.7800;1.1844;1.3946;0.8176;1.8247;1.9348;2.9641;105.074;129.384;17.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;3.3932;102.065;129.893;13.000;0.000;0.000;0.000;0.000;0.000;6423.000;22.000;3.3653;102.084;129.684;14.000;4.000;0.697;0.000;0.697;0.000;0.000;4125.000;3.1872;101.883;128.022;14.000;5.000;0.523;0.000;0.218;0.305;0.000;0.000
37;1.0844;1.9638;1.0081;0.9199;1.4854;1.2214;0.6602;3.0017;44.514;69.132;8.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;3.2431;43.958;70.556;8.000;0.000;0.000;0.000;0.000;0.000;7578.000;0.000;3.2431;43.958;70.556;8.000;0.000;0.000;0.000;0.000;0.000;7578.000;0.000;3.0219;44.383;69.167;8.000;4.000;0.292;0.000;0.292;0.000;0.000;0.000
38;1.0209;0.5115;1.6833;1.0606;0.5331;1.8347;1.9984;2.9671;110.356;134.690;19.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;3.4685;108.642;137.089;17.000;0.000;0.000;0.000;0.000;0.000;17905.000;3920.000;3.4685;108.642;137.089;17.000;0.000;0.000;0.000;0.000;0.000;17905.000;3920.000;2.9763;109.874;134.283;19.000;8.000;1.592;0.000;1.288;0.304;0.000;0.000
