# Valeur de la RUL -- maintenance insulaire (fenetres de visite + cout fixe)
# horizon=25 ans | N_MC=200 | mult U_log[0.50,2.00] | seed=2026 | VoLL=3.0 | Tvisite=3m | marge=1 | prev=fc+ely
# strategie de conduite FIXE : RB2(SoH) ; politiques : ['instant', 'corrective', 'calendar', 'rul']
# ages calendaires de ref (nominal x 1.00) : {'bat': 3.89, 'fc': 5.52, 'ely': None}
# cout total = uni0 + C_visite*n_interventions + gaspillage ; C_visite en post-proc
# TEST NUL instant==base : OK (ecart 0.000e+00 kEUR)

## Points nominaux (multiplicateurs = 1)
policy;lpsp;deg;uni0;nint;nprev;waste;wbat;wfc;wely;outfc;outely
instant;2.9099;58.024;81.889;10.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
corrective;3.1078;57.460;82.948;10.000;0.000;0.000;0.000;0.000;0.000;7467.000;0.000
calendar;2.9589;57.762;82.029;10.000;4.000;0.039;0.000;0.039;0.000;0.000;0.000
rul;2.9589;57.762;82.029;10.000;4.000;0.039;0.000;0.039;0.000;0.000;0.000

## Tirages (mondes perturbes, 200 complets)
draw;m_fc_a;m_fc_b;m_fc_s;m_ely_a;m_ely_b;m_ely_s;m_bat;instant_lpsp;instant_deg;instant_uni0;instant_nint;instant_nprev;instant_waste;instant_wbat;instant_wfc;instant_wely;instant_outfc;instant_outely;corrective_lpsp;corrective_deg;corrective_uni0;corrective_nint;corrective_nprev;corrective_waste;corrective_wbat;corrective_wfc;corrective_wely;corrective_outfc;corrective_outely;calendar_lpsp;calendar_deg;calendar_uni0;calendar_nint;calendar_nprev;calendar_waste;calendar_wbat;calendar_wfc;calendar_wely;calendar_outfc;calendar_outely;rul_lpsp;rul_deg;rul_uni0;rul_nint;rul_nprev;rul_waste;rul_wbat;rul_wfc;rul_wely;rul_outfc;rul_outely
30;0.6649;1.0738;0.7196;0.8904;0.5147;0.7389;0.7277;2.8290;42.450;65.652;7.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;2.8662;42.274;65.781;7.000;0.000;0.000;0.000;0.000;0.000;2583.000;0.000;2.8328;42.225;65.458;4.000;4.000;1.558;0.000;1.558;0.000;0.000;0.000;2.8528;42.343;65.740;7.000;1.000;0.002;0.000;0.002;0.000;422.000;0.000
31;1.7879;1.1297;0.6395;0.9045;0.9903;1.2098;1.0460;2.9966;62.602;87.179;11.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;3.0903;62.208;87.553;11.000;0.000;0.000;0.000;0.000;0.000;7299.000;0.000;3.0903;62.208;87.553;11.000;0.000;0.000;0.000;0.000;0.000;7299.000;0.000;3.0073;62.557;87.221;10.000;5.000;0.135;0.000;0.135;0.000;0.000;0.000
32;0.8963;0.7693;1.1096;1.9341;1.0762;1.7100;0.5107;2.8985;41.047;64.819;8.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;3.0886;40.438;65.769;8.000;0.000;0.000;0.000;0.000;0.000;5956.000;2018.000;2.9499;40.927;65.120;8.000;4.000;0.052;0.000;0.052;0.000;0.000;796.000;2.9147;40.970;64.874;8.000;5.000;0.121;0.000;0.032;0.088;0.000;0.000
33;0.6626;1.6581;1.1011;0.9829;0.8337;0.7529;1.2813;2.8525;68.432;91.827;12.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;2.9171;67.917;91.841;10.000;0.000;0.000;0.000;0.000;0.000;219.000;0.000;2.9016;67.835;91.632;11.000;4.000;0.607;0.000;0.607;0.000;0.000;0.000;2.9171;67.917;91.841;10.000;0.000;0.000;0.000;0.000;0.000;219.000;0.000
34;0.8302;0.9141;1.4678;1.8562;1.9825;0.9793;0.6056;2.9202;40.875;64.825;8.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;3.0044;40.435;65.075;7.000;0.000;0.000;0.000;0.000;0.000;7606.000;0.000;3.0044;40.435;65.075;7.000;0.000;0.000;0.000;0.000;0.000;7606.000;0.000;2.9229;40.854;64.826;8.000;5.000;0.098;0.000;0.098;0.000;0.000;0.000
35;0.5176;0.9926;0.5558;0.5886;0.6924;1.9779;0.6261;2.9508;45.108;69.310;7.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;3.0578;44.888;69.967;6.000;0.000;0.000;0.000;0.000;0.000;2392.000;592.000;3.0750;44.813;70.032;8.000;4.000;2.341;0.000;2.341;0.000;0.000;2123.000;2.9520;45.061;69.271;6.000;3.000;0.163;0.000;0.027;0.135;0.000;0.000
36;0.5825;1.7800;1.1844;1.3946;0.8176;1.8247;1.9348;2.9641;105.074;129.384;17.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;3.2590;103.744;130.473;14.000;0.000;0.000;0.000;0.000;0.000;2392.000;2078.000;3.2234;103.614;130.051;15.000;4.000;0.646;0.000;0.646;0.000;0.000;1935.000;3.0697;103.545;128.721;15.000;2.000;0.015;0.000;0.008;0.007;483.000;0.000
37;1.0844;1.9638;1.0081;0.9199;1.4854;1.2214;0.6602;3.0017;44.514;69.132;8.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;3.2431;43.958;70.556;8.000;0.000;0.000;0.000;0.000;0.000;7578.000;0.000;3.2431;43.958;70.556;8.000;0.000;0.000;0.000;0.000;0.000;7578.000;0.000;3.0175;44.395;69.143;8.000;4.000;0.037;0.000;0.037;0.000;0.000;0.000
38;1.0209;0.5115;1.6833;1.0606;0.5331;1.8347;1.9984;2.9671;110.356;134.690;19.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;3.1990;109.479;135.715;18.000;0.000;0.000;0.000;0.000;0.000;7048.000;1659.000;3.1990;109.479;135.715;18.000;0.000;0.000;0.000;0.000;0.000;7048.000;1659.000;3.0044;109.923;134.563;13.000;7.000;0.217;0.000;0.193;0.023;0.000;0.000
39;1.3895;0.9092;1.1351;0.5071;0.5811;0.7911;0.8843;2.8576;52.827;76.264;10.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;3.1039;52.538;77.995;5.000;0.000;0.000;0.000;0.000;0.000;5103.000;0.000;3.1039;52.538;77.995;5.000;0.000;0.000;0.000;0.000;0.000;5103.000;0.000;2.8676;52.738;76.256;10.000;5.000;0.205;0.000;0.205;0.000;0.000;0.000
40;1.4259;0.6335;0.5873;1.3149;1.7125;1.6927;1.3985;2.9608;80.505;104.787;13.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;3.3317;79.749;107.074;12.000;0.000;0.000;0.000;0.000;0.000;6489.000;1107.000;3.0786;79.859;105.108;13.000;4.000;0.082;0.000;0.082;0.000;0.000;1766.000;3.0239;79.983;104.783;13.000;5.000;0.069;0.000;0.040;0.029;0.000;0.000
41;1.9550;1.0311;1.4630;0.8915;0.8159;1.7674;0.9084;2.9337;62.802;86.862;13.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;3.1120;62.142;87.665;13.000;0.000;0.000;0.000;0.000;0.000;5755.000;975.000;3.1120;62.142;87.665;13.000;0.000;0.000;0.000;0.000;0.000;5755.000;975.000;2.9866;62.613;87.108;12.000;4.000;0.143;0.000;0.032;0.111;567.000;0.000
42;1.4073;0.9959;0.5842;0.5962;1.0141;1.3336;1.3996;3.0326;77.909;102.780;13.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;3.3212;77.054;104.293;13.000;0.000;0.000;0.000;0.000;0.000;5597.000;2012.000;3.0939;77.388;102.762;13.000;4.000;0.090;0.000;0.090;0.000;0.000;7.000;3.0763;77.391;102.622;13.000;5.000;0.184;0.000;0.090;0.094;0.000;0.000
43;0.7963;0.5064;1.0473;0.6503;0.7793;1.0965;0.8607;2.9477;52.013;76.189;9.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;3.1495;51.446;77.277;7.000;0.000;0.000;0.000;0.000;0.000;8063.000;0.000;2.9992;51.665;76.263;9.000;4.000;0.435;0.000;0.435;0.000;0.000;0.000;3.0048;51.701;76.345;9.000;4.000;0.024;0.000;0.024;0.000;0.000;0.000
44;0.9447;0.5362;0.6444;1.6064;1.0166;1.7055;1.6410;2.9452;90.664;114.819;14.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;3.1144;89.590;115.133;13.000;0.000;0.000;0.000;0.000;0.000;3339.000;1173.000;3.0538;89.641;114.687;14.000;4.000;1.128;0.000;1.128;0.000;0.000;1353.000;3.0216;89.789;114.571;13.000;3.000;0.063;0.000;0.010;0.053;276.000;0.000
45;0.6535;0.8701;1.0364;0.5724;0.5628;1.6054;1.5729;2.9589;86.901;111.168;14.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;3.1299;86.367;112.037;13.000;0.000;0.000;0.000;0.000;0.000;4993.000;2075.000;3.0017;86.501;111.120;14.000;4.000;0.850;0.000;0.850;0.000;0.000;2017.000;2.9909;86.681;111.211;12.000;4.000;0.048;0.000;0.042;0.006;0.000;0.000
46;0.8506;1.3316;1.0252;1.4096;0.7740;0.9646;1.7242;2.9176;89.830;113.758;15.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;3.0478;88.895;113.891;13.000;0.000;0.000;0.000;0.000;0.000;3784.000;0.000;2.9934;88.949;113.500;13.000;4.000;0.344;0.000;0.344;0.000;0.000;0.000;2.9970;88.984;113.564;14.000;4.000;0.137;0.000;0.137;0.000;0.000;0.000
47;1.5511;0.7684;1.6977;0.8690;1.2877;1.3407;0.8726;2.9673;57.984;82.320;13.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;3.1431;57.490;83.267;13.000;0.000;0.000;0.000;0.000;0.000;6090.000;1237.000;3.1431;57.490;83.267;13.000;0.000;0.000;0.000;0.000;0.000;6090.000;1237.000;2.9765;57.908;82.319;13.000;8.000;0.537;0.000;0.455;0.083;0.000;0.000
