# RB2(SoH) generalisee gamma — min deg s.c. LPSP<=cap — 25 ans — metrics() commun
# REF RB2(0.45, 0.33) : LPSP_cap=2.4540%  deg_cible=65.42kEUR
phase;c_fc;c_ely;g_fc;g_ely;faisable;LPSP_%;deg_kEUR;vie_bat;vie_fc;vie_ely
1;0.450;0.330;0.0;1.0;0;2.5748;60.49;3.9173515981735156;12.567922374429223;15.681164383561644
2;0.450;0.325;0.5;0.5;0;2.5422;60.50;3.918264840182648;12.560844748858447;15.478310502283104
1;0.475;0.320;2.0;0.0;0;2.6703;60.50;3.9391552511415524;12.611757990867579;15.387671232876713
2;0.450;0.320;0.5;0.0;0;2.5308;60.54;3.9171232876712327;12.560844748858447;15.212328767123287
1;0.475;0.340;1.0;2.0;0;2.6702;60.54;3.930365296803653;12.573401826484018;16.565981735159816
2;0.440;0.325;0.0;0.5;0;2.5328;60.55;3.9118721461187214;12.560844748858447;15.409931506849315
2;0.445;0.325;0.5;0.5;0;2.5778;60.58;3.914497716894977;12.574543378995433;15.472945205479451
2;0.440;0.320;0.0;0.0;0;2.5208;60.59;3.910730593607306;12.560844748858447;15.157534246575342
1;0.475;0.330;2.0;1.0;0;2.6940;60.60;3.9381278538812783;12.606278538812784;15.826027397260274
1;0.450;0.340;0.0;2.0;0;2.6697;60.61;3.9118721461187214;12.589840182648402;16.51678082191781
2;0.445;0.320;0.5;0.0;0;2.5757;60.61;3.9133561643835617;12.574543378995433;15.217808219178082
2;0.440;0.325;0.5;0.5;0;2.6213;60.66;3.9106164383561643;12.589840182648402;15.45376712328767
1;0.450;0.320;1.0;0.0;0;2.6347;60.67;3.91472602739726;12.596575342465753;15.223401826484018
2;0.440;0.320;0.5;0.0;0;2.6197;60.69;3.909132420091324;12.589840182648402;15.206849315068492
1;0.450;0.330;1.0;1.0;0;2.6561;60.72;3.913470319634703;12.596575342465753;15.746803652968037
1;0.475;0.340;2.0;2.0;0;2.7609;60.73;3.924771689497717;12.603538812785388;16.629109589041096
1;0.450;0.340;1.0;2.0;0;2.7095;60.79;3.908904109589041;12.596575342465753;16.577054794520546
1;0.450;0.320;2.0;0.0;0;2.8204;60.91;3.9117579908675797;12.634931506849314;15.291780821917808
1;0.450;0.330;2.0;1.0;0;2.8312;60.93;3.9106164383561643;12.634931506849314;15.815068493150685
1;0.450;0.340;2.0;2.0;0;2.8801;60.94;3.9051369863013696;12.634931506849314;16.620776255707764
2;0.455;0.325;0.0;0.0;0;2.4966;62.14;3.9245433789954336;12.552625570776256;13.960616438356164
2;0.455;0.325;0.5;0.0;0;2.5072;62.16;3.9226027397260275;12.557077625570775;14.050684931506849
2;0.450;0.325;0.5;0.0;0;2.5454;62.20;3.918835616438356;12.560844748858447;14.062100456621003
2;0.450;0.325;0.0;0.0;0;2.4819;62.27;3.920091324200913;12.554223744292237;13.94406392694064
2;0.445;0.325;0.5;0.0;0;2.5859;62.28;3.9146118721461187;12.574543378995433;14.059246575342465
2;0.440;0.325;0.5;0.0;0;2.6322;62.34;3.910730593607306;12.589840182648402;14.059132420091323
2;0.445;0.325;0.0;0.0;0;2.4924;62.34;3.9162100456621003;12.554223744292237;13.94406392694064
2;0.440;0.325;0.0;0.0;0;2.5346;62.37;3.9133561643835617;12.560844748858447;13.960502283105022
2;0.455;0.330;0.5;0.5;0;2.5023;62.44;3.9199771689497718;12.557077625570775;14.059132420091323
2;0.455;0.330;0.0;0.5;0;2.5242;62.45;3.9215753424657533;12.560844748858447;13.984817351598172
2;0.450;0.330;0.5;0.5;0;2.5336;62.49;3.9160958904109586;12.560844748858447;14.075456621004566
2;0.450;0.330;0.0;0.5;0;2.5014;62.53;3.9173515981735156;12.557077625570775;13.98470319634703
2;0.445;0.330;0.5;0.5;0;2.5767;62.53;3.9118721461187214;12.574543378995433;14.094520547945205
2;0.440;0.330;0.5;0.5;0;2.6215;62.57;3.908904109589041;12.589840182648402;14.094748858447488
2;0.445;0.330;0.0;0.5;0;2.5050;62.60;3.913470319634703;12.557077625570775;13.97945205479452
2;0.440;0.330;0.0;0.5;0;2.5270;62.65;3.9106164383561643;12.560844748858447;13.984817351598172
1;0.500;0.350;0.0;2.0;0;3.4142;64.11;3.9659817351598172;12.722602739726026;13.223630136986301
1;0.450;0.350;2.0;2.0;0;2.8244;64.12;3.9044520547945205;12.634931506849314;13.771118721461187
1;0.475;0.350;2.0;2.0;0;2.6411;64.22;3.9240867579908674;12.603538812785388;13.659246575342465
1;0.475;0.330;2.0;0.0;0;2.6339;64.26;3.9390410958904107;12.606278538812784;13.157648401826483
1;0.500;0.350;1.0;2.0;0;2.8483;64.30;3.959931506849315;12.658333333333333;13.300342465753424
1;0.500;0.330;2.0;0.0;0;2.6002;64.31;3.9600456621004563;12.592579908675798;13.026141552511415
1;0.500;0.350;2.0;2.0;0;2.5415;64.31;3.9544520547945203;12.578881278538812;13.456506849315067
1;0.450;0.350;1.0;2.0;0;2.6294;64.34;3.907876712328767;12.596575342465753;13.604337899543378
1;0.450;0.330;2.0;0.0;0;2.8250;64.34;3.911643835616438;12.634931506849314;13.223287671232876
1;0.475;0.350;0.0;2.0;0;2.8664;64.36;3.939269406392694;12.667808219178081;13.28093607305936
1;0.475;0.350;1.0;2.0;0;2.5453;64.38;3.9280821917808217;12.58173515981735;13.43162100456621
1;0.450;0.350;0.0;2.0;0;2.6209;64.47;3.9106164383561643;12.595319634703197;13.409817351598173
1;0.500;0.330;0.0;0.0;0;3.1013;64.57;3.9710045662100457;12.642922374429224;12.722260273972603
1;0.500;0.330;1.0;0.0;0;2.6931;64.61;3.9657534246575343;12.611757990867579;12.820776255707763
1;0.475;0.330;1.0;0.0;0;2.4707;64.76;3.9421232876712327;12.565182648401827;12.878424657534246
1;0.450;0.340;2.0;1.0;0;2.8089;64.76;3.903767123287671;12.634931506849314;13.196232876712328
1;0.450;0.330;1.0;0.0;0;2.6383;64.90;3.9146118721461187;12.596575342465753;12.924657534246576
1;0.475;0.340;2.0;1.0;0;2.6089;65.04;3.922945205479452;12.603538812785388;12.968607305936073
2;0.455;0.330;0.5;0.0;0;2.4993;65.04;3.920091324200913;12.557077625570775;12.815182648401827
2;0.450;0.330;0.5;0.0;0;2.5362;65.07;3.9160958904109586;12.560844748858447;12.825913242009133
