# Comparaison contrainte RB2 vs RB2(SoH) — min deg s.c. LPSP<=CAP — 25 ans
# LPSP_CAP=2.4540%  (ancre = RB2(0.45, 0.33))  estimateur=metrics() commun
famille;coef_fc;coef_ely;faisable;LPSP_%;deg_kEUR;vie_bat;vie_fc;vie_ely
RB2;0.550;0.360;0;3.4434;75.96;4.0256849315068495;12.78972602739726;7.489383561643836
RB2;0.500;0.360;1;2.4272;76.04;3.9659817351598172;12.555479452054794;7.69486301369863
RB2(SoH);0.550;0.300;0;5.1268;53.91;3.9913242009132417;13.268607305936072;None
RB2(SoH);0.500;0.300;0;3.5510;54.58;3.959931506849315;12.732191780821918;None
RB2(SoH);0.475;0.300;0;3.1693;55.21;3.9281963470319634;12.677168949771689;None
RB2(SoH);0.450;0.300;0;2.8857;55.92;3.9106164383561643;12.615639269406392;None
RB2(SoH);0.550;0.320;0;4.2100;57.00;4.005022831050228;12.872602739726027;20.130479452054793
RB2(SoH);0.400;0.300;0;3.0792;57.20;3.880365296803653;12.663812785388128;24.604337899543378
RB2(SoH);0.500;0.320;0;3.0665;57.82;3.9639269406392694;12.669292237442923;19.74417808219178
RB2(SoH);0.485;0.320;0;2.8705;58.12;3.9499999999999997;12.626712328767123;19.451027397260273
RB2(SoH);0.475;0.320;0;2.7145;58.28;3.9418949771689498;12.592579908675798;19.327625570776256
RB2(SoH);0.465;0.320;0;2.6485;58.45;3.9255707762557077;12.576141552511416;19.190753424657533
RB2(SoH);0.450;0.320;0;2.6776;58.68;3.9146118721461187;12.596575342465753;19.006963470319633
RB2(SoH);0.550;0.330;0;3.8265;58.95;4.010844748858448;12.803424657534245;16.097716894977168
RB2(SoH);0.400;0.320;0;3.0537;59.41;3.8829908675799087;12.663812785388128;18.40719178082192
RB2(SoH);0.500;0.330;0;2.8775;59.91;3.9640410958904106;12.647374429223744;15.878424657534246
RB2(SoH);0.485;0.330;0;2.6674;60.20;3.9499999999999997;12.59931506849315;15.815182648401827
RB2(SoH);0.475;0.330;0;2.5596;60.37;3.9418949771689498;12.570662100456621;15.785159817351598
RB2(SoH);0.465;0.330;0;2.5728;60.54;3.9255707762557077;12.567922374429223;15.730479452054794
RB2(SoH);0.450;0.330;0;2.6561;60.72;3.913470319634703;12.596575342465753;15.746803652968037
RB2(SoH);0.400;0.330;0;3.0601;61.37;3.88162100456621;12.663812785388128;15.60970319634703
RB2(SoH);0.400;0.340;0;3.0384;64.85;3.870205479452055;12.663812785388128;13.261872146118721
RB2(SoH);0.550;0.340;0;3.6196;64.93;4.009018264840183;12.762328767123288;12.538698630136986
RB2(SoH);0.450;0.340;0;2.6222;65.25;3.907876712328767;12.596575342465753;12.892123287671232
RB2(SoH);0.465;0.340;0;2.4892;65.33;3.918835616438356;12.567922374429223;12.788013698630136
RB2(SoH);0.500;0.340;0;2.7854;65.37;3.959931506849315;12.64200913242009;12.618150684931507
RB2(SoH);0.485;0.340;0;2.5336;65.41;3.943607305936073;12.591095890410958;12.683789954337898
RB2(SoH);0.475;0.340;1;2.4347;65.49;3.927853881278539;12.559703196347032;12.689383561643835
RB2(SoH);0.465;0.350;0;2.4793;68.02;3.9174657534246573;12.567922374429223;10.820662100456621
