# RB2(SoH) generalisee SoH^gamma — 25 ans — estimateur metrics() commun
# RB2 = sous-ensemble (g_fc=g_ely=0) ; RB2(SoH) = (g_fc=g_ely=1)
# REF_RB2=(0.45, 0.33) -> LPSP_nominale=2.4540%
c_fc;c_ely;g_fc;g_ely;LPSP_%;deg_kEUR;vie_bat;vie_fc;vie_ely
0.475;0.300;2.0;2.0;3.1752;54.48;3.9245433789954336;12.655593607305935;None
0.400;0.450;2.0;2.0;3.1753;82.48;3.8487442922374426;12.66107305936073;6.46986301369863
0.400;0.400;2.0;0.0;3.1940;79.78;3.8569634703196347;12.66107305936073;6.938470319634703
0.400;0.360;2.0;1.0;3.2015;69.33;3.8569634703196347;12.66107305936073;10.53013698630137
0.400;0.360;2.0;0.0;3.2060;72.04;3.8569634703196347;12.66107305936073;9.231392694063926
0.400;0.400;2.0;2.0;3.2125;74.72;3.8598173515981733;12.66107305936073;8.527397260273972
0.400;0.360;2.0;2.0;3.2166;66.68;3.859931506849315;12.66107305936073;12.387899543378994
0.550;0.360;1.0;1.0;3.2202;71.98;4.0159817351598175;12.682990867579909;8.839954337899544
0.400;0.400;2.0;1.0;3.2203;77.55;3.8598173515981733;12.66107305936073;7.614954337899543
0.400;0.300;2.0;0.0;3.2235;59.30;3.8778538812785386;12.66107305936073;19.140981735159816
0.400;0.330;2.0;1.0;3.2400;61.41;3.8788812785388127;12.66107305936073;15.773972602739725
0.475;0.330;0.0;2.0;3.2408;57.14;3.9462328767123287;12.681392694063927;22.053881278538814
0.400;0.330;2.0;2.0;3.2570;58.89;3.8788812785388127;12.66107305936073;20.409931506849315
0.400;0.330;2.0;0.0;3.2604;64.45;3.8789954337899544;12.66107305936073;13.363013698630137
0.400;0.300;2.0;1.0;3.2691;57.49;3.877739726027397;12.66107305936073;24.102739726027398
0.550;0.330;2.0;1.0;3.3502;59.35;4.005022831050228;12.706164383561644;16.09497716894977
0.475;0.300;0.0;0.0;3.3655;57.37;3.9408675799086756;12.73082191780822;21.256278538812786
0.400;0.300;2.0;2.0;3.3734;55.95;3.877739726027397;12.66107305936073;None
0.475;0.300;1.0;2.0;3.4084;54.04;3.9281963470319634;12.6912100456621;None
0.550;0.360;0.0;0.0;3.4434;75.96;4.0256849315068495;12.78972602739726;7.489383561643836
0.550;0.400;0.0;2.0;3.4859;80.35;4.037100456621005;12.795205479452054;6.746803652968036
0.550;0.330;1.0;0.0;3.5989;63.91;4.011986301369863;12.762328767123288;12.820776255707763
0.475;0.300;0.0;1.0;3.6248;54.65;3.9393835616438353;12.744520547945205;None
0.550;0.360;1.0;2.0;3.6253;67.04;4.0159817351598175;12.795205479452054;11.007077625570776
0.550;0.330;2.0;2.0;3.7626;56.71;4.003995433789954;12.73082191780822;22.502853881278536
0.550;0.300;2.0;0.0;3.7952;57.02;3.987442922374429;12.877397260273971;21.489383561643834
0.550;0.330;1.0;1.0;3.8265;58.95;4.010844748858448;12.803424657534245;16.097716894977168
0.475;0.300;0.0;2.0;3.9424;53.68;3.9408675799086756;12.755479452054795;None
0.550;0.360;0.0;1.0;3.9993;71.84;4.023972602739726;12.882876712328766;8.826369863013698
0.550;0.300;2.0;1.0;4.2512;54.23;3.9883561643835614;12.915753424657535;None
0.550;0.330;1.0;2.0;4.4253;56.35;4.011986301369863;12.833561643835615;22.637214611872146
0.550;0.300;1.0;0.0;4.5827;56.66;3.994063926940639;13.135045662100456;21.659132420091325
0.550;0.300;2.0;2.0;4.6177;53.36;3.987442922374429;12.94041095890411;None
0.550;0.360;0.0;2.0;4.6341;66.76;4.0228310502283104;13.134931506849314;11.006849315068493
0.550;0.330;0.0;0.0;4.7671;63.70;4.0162100456621;13.122602739726027;12.798858447488584
0.550;0.330;0.0;1.0;4.9773;58.66;4.01472602739726;13.286986301369863;16.097716894977168
0.550;0.300;1.0;1.0;5.1268;53.91;3.9913242009132417;13.268607305936072;None
0.550;0.330;0.0;2.0;5.6552;56.04;4.014497716894977;13.349885844748858;22.637214611872146
0.550;0.300;1.0;2.0;5.8291;53.05;3.9932648401826483;13.380821917808218;None
0.550;0.300;0.0;0.0;5.9165;56.30;3.999429223744292;13.571917808219178;21.659132420091325
0.550;0.300;0.0;1.0;5.9402;53.65;3.9982876712328768;13.660958904109588;None
0.550;0.300;0.0;2.0;6.4985;52.83;3.9970319634703193;13.69920091324201;None

# === Optima contraints par borne LPSP : RB2 vs RB2(SoH) vs famille gamma ===
